RID,SID,text,polarity,category,target
1001,1001:4,uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.,negative,RESTAURANT#GENERAL,NULL
1001,1001:5,Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,negative,RESTAURANT#GENERAL,kalitesi
1002,1002:0,Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,negative,FOOD#QUALITY,ev yemegi
1002,1002:1,Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,negative,FOOD#QUALITY,ev yemeginin
1002,1002:2,Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.,negative,RESTAURANT#GENERAL,NULL
1002,1002:3,1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,negative,RESTAURANT#PRICES,fiyatlarinin
1002,1002:3,1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,negative,FOOD#QUALITY,yemeklerinin
1003,1003:0,"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",negative,AMBIENCE#GENERAL,kasap reyonu
1003,1003:1,garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,negative,SERVICE#GENERAL,garsonumuz
1003,1003:2,lokumun daha iyisini yedim küşleme güzeldi.,positive,FOOD#QUALITY,küşleme
1003,1003:2,lokumun daha iyisini yedim küşleme güzeldi.,neutral,FOOD#QUALITY,lokumun
1003,1003:4,bilemedim mekana daha sonra belki bir şans daha verebilirim.,neutral,RESTAURANT#GENERAL,mekana
1004,1004:0,2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,negative,DRINKS#PRICES,çayı
1004,1004:1,) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,negative,DRINKS#PRICES,çay
1004,1004:1,) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,positive,RESTAURANT#GENERAL,NULL
1005,1005:0,Şatobiryanı öneririm.,positive,FOOD#QUALITY,Şatobiryanı
1005,1005:1,Sosu tereyagli ve yumusak .,positive,FOOD#QUALITY,Sosu
1005,1005:2,Sert et sevmeyenler icin cok lezzetliydi.,positive,FOOD#QUALITY,et
1005,1005:3,Guvecte yogurt ve salatayla iyi bir uclu oldu.,positive,FOOD#QUALITY,Guvecte yogurt ve salatayla
1005,1005:4,Servisi hizli valesi var.,positive,SERVICE#GENERAL,Servisi
1005,1005:5,Acik mekanda ise gardenya bolumu guzel.,positive,AMBIENCE#GENERAL,gardenya bolumu
1005,1005:6,Kalabalik icin ideal.,positive,RESTAURANT#GENERAL,NULL
1006,1006:1,Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,neutral,FOOD#QUALITY,bourbon vanilla
1006,1006:2,Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,positive,DRINKS#QUALITY,beyaz caylarini
1006,1006:3,"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",positive,AMBIENCE#GENERAL,Ortam
1006,1006:3,"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",positive,AMBIENCE#GENERAL,oturma köşeleri
1007,1007:0,Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,negative,RESTAURANT#GENERAL,gitmenizi
1007,1007:2,Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,positive,RESTAURANT#GENERAL,Pendik merkez ana şubesi
1008,1008:0,Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,positive,FOOD#QUALITY,kurufasülyeci
1008,1008:2,"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",positive,FOOD#QUALITY,Fasulyesi
1008,1008:3,Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,neutral,FOOD#STYLE_OPTIONS,bekletiyorlarmış
1008,1008:4,"Yanında turşu, cacık veya yoğurtla harika oluyor.",positive,FOOD#STYLE_OPTIONS,"turşu, cacık veya yoğurtla"
1008,1008:5,"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",positive,FOOD#QUALITY,Pilavı
1008,1008:5,"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",positive,FOOD#QUALITY,kokuyor
1008,1008:6,Finali sütlaçla yapmanızı tavsiye ediyorum.,positive,FOOD#QUALITY,sütlaçla
1008,1008:7,Sütlacı da enfes.,positive,FOOD#QUALITY,Sütlacı
1009,1009:0,"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",positive,FOOD#QUALITY,lezzet
1009,1009:0,"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",neutral,SERVICE#GENERAL,sıra
1009,1009:1,Atıştırmalık Jumbo Combo pek yummy!,positive,FOOD#QUALITY,Atıştırmalık Jumbo Combo
1010,1010:0,Deniz ürünleri çok başarılı.,positive,FOOD#QUALITY,Deniz ürünleri
1010,1010:1,Manzarası zaten mükemmel.,positive,AMBIENCE#GENERAL,Manzarası
1010,1010:2,"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",positive,AMBIENCE#GENERAL,hissediyorsun
1010,1010:3,Onun dışında pek öğrenci mekanı değil.,neutral,AMBIENCE#GENERAL,öğrenci mekanı
1010,1010:4,"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",neutral,AMBIENCE#GENERAL,yer
1011,1011:0,"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",positive,AMBIENCE#GENERAL,sohbet edebilmek
1011,1011:1,"Çalan müzik tam kıvamında, rahatsız etmiyor.",positive,AMBIENCE#GENERAL,Çalan müzik
1011,1011:2,"Yemekleri çok lezzetli, manzara mükemmel.",positive,AMBIENCE#GENERAL,manzara
1011,1011:2,"Yemekleri çok lezzetli, manzara mükemmel.",positive,FOOD#QUALITY,Yemekleri
1011,1011:3,"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",negative,FOOD#PRICES,hesap
1012,1012:0,Kalabalik zamanlarda servis fazlasiyla aksiyor.,negative,SERVICE#GENERAL,servis
1012,1012:1,"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",negative,SERVICE#GENERAL,siparis
1012,1012:2,Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,negative,AMBIENCE#GENERAL,masalarin
1013,1013:0,"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",positive,AMBIENCE#GENERAL,ortamında
1013,1013:0,"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",positive,FOOD#QUALITY,yemekler
1013,1013:0,"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",positive,FOOD#QUALITY,çilekli magnoliasından
1013,1013:1,İçinizi serinletecek enfes bir tat.,positive,FOOD#QUALITY,tat
1014,1014:0,Garsonlar suratsiz.,negative,SERVICE#GENERAL,Garsonlar
1014,1014:1,Bu kadar methedilmeyi hakketmiyor.,negative,RESTAURANT#GENERAL,NULL
1014,1014:2,Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,negative,FOOD#STYLE_OPTIONS,Kasarli köftenin
1014,1014:2,Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,negative,RESTAURANT#GENERAL,yer
1014,1014:5,Isletme sahibi kaba.,negative,SERVICE#GENERAL,Isletme sahibi
1014,1014:6,Bizim kasarli köfte tanimimiz böyle diyor sadece!,negative,FOOD#STYLE_OPTIONS,kasarli köfte
1014,1014:7,Müsteri memnuniyeti sifir!,negative,RESTAURANT#GENERAL,Müsteri memnuniyeti
1015,1015:0,"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",positive,FOOD#QUALITY,pide
1015,1015:1,O zaman keşke başlangıçlarda menüde yer almasa!,negative,FOOD#STYLE_OPTIONS,menüde
1015,1015:2,Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,positive,RESTAURANT#GENERAL,fiyatları
1015,1015:2,Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,positive,LOCATION#GENERAL,ulaşımı
1015,1015:4,"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",positive,FOOD#STYLE_OPTIONS,pide
1015,1015:5,Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,negative,FOOD#STYLE_OPTIONS,pideyi
1015,1015:8,Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,positive,FOOD#QUALITY,tadı
1015,1015:9,"Malzemesi bol, porsiyonu tam kıvamındaydı.",positive,FOOD#STYLE_OPTIONS,Malzemesi
1015,1015:9,"Malzemesi bol, porsiyonu tam kıvamındaydı.",positive,FOOD#STYLE_OPTIONS,porsiyonu
1016,1016:0,Beşiktaş'ın göbeğinde.,positive,LOCATION#GENERAL,Beşiktaş'ın göbeğinde
1016,1016:2,Ve deneyim maalesef çok da olumlu olmadı.,negative,RESTAURANT#GENERAL,deneyim
1016,1016:3,"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",positive,FOOD#QUALITY,Pide lezzeti
1016,1016:3,"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",negative,SERVICE#GENERAL,siparişleri
1016,1016:4,"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",positive,FOOD#QUALITY,ortası
1016,1016:4,"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",negative,FOOD#STYLE_OPTIONS,kenarlarını
1016,1016:5,"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",negative,SERVICE#GENERAL,gelecek
1016,1016:6,"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",negative,FOOD#QUALITY,Yemek
1016,1016:6,"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",positive,RESTAURANT#PRICES,bütçeyi
1017,1017:4,"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",positive,FOOD#QUALITY,kahvalti
1017,1017:4,"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",negative,FOOD#PRICES,fiyat
1017,1017:4,"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",negative,SERVICE#GENERAL,servis
1018,1018:0,Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,positive,FOOD#QUALITY,yemekleri
1018,1018:0,Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,positive,FOOD#STYLE_OPTIONS,ikram
1018,1018:0,Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,positive,AMBIENCE#GENERAL,manzarası
1018,1018:1,Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,positive,RESTAURANT#GENERAL,yerlerden
1018,1018:1,Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,positive,FOOD#QUALITY,istakoz kavurma
1018,1018:1,Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,positive,FOOD#QUALITY,ızgara mantar
1019,1019:0,Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,positive,FOOD#QUALITY,mezelerde
1019,1019:1,"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",positive,FOOD#QUALITY,kagitta balik pastirma
1019,1019:1,"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",positive,FOOD#QUALITY,kuskonmaz somon sarma
1020,1020:0,Burada caylar harika!,positive,DRINKS#QUALITY,caylar
1020,1020:2,Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,positive,FOOD#QUALITY,lezzet
1020,1020:3,Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,negative,AMBIENCE#GENERAL,manzara
1020,1020:3,Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,positive,AMBIENCE#GENERAL,Ortam
1020,1020:4,Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,positive,DRINKS#STYLE_OPTIONS,cay
1021,1021:0,"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",positive,RESTAURANT#GENERAL,mekan
1021,1021:1,"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",positive,AMBIENCE#GENERAL,köprünün ve hisarın ışıkları
1021,1021:2,Hemde canlı müzikle :,positive,AMBIENCE#GENERAL,canlı müzikle
1022,1022:0,Daha iyisi var.,negative,RESTAURANT#GENERAL,NULL
1022,1022:1,Buranin doneri dedikleri kadar efsane degil.,negative,FOOD#QUALITY,doneri
1022,1022:2,"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",negative,FOOD#QUALITY,Eti
1022,1022:2,"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",negative,FOOD#STYLE_OPTIONS,Eti
1022,1022:3,Ortami da begenmedim kalabalik 3. Sinif bir yer.,negative,AMBIENCE#GENERAL,Ortami
1022,1022:4,Bir daha gitmem,negative,RESTAURANT#GENERAL,NULL
1023,1023:0,"Eti lezzetli, mekan gösterişli.",positive,AMBIENCE#GENERAL,mekan
1023,1023:0,"Eti lezzetli, mekan gösterişli.",positive,FOOD#QUALITY,Eti
1023,1023:1,Ama sunum resmen sıfır.,negative,SERVICE#GENERAL,sunum
1023,1023:2,30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,negative,FOOD#STYLE_OPTIONS,tabağa
1023,1023:3,Havuç dilimi ise aşırı yağlı ve şerbetli.,negative,FOOD#QUALITY,Havuç dilimi
1023,1023:4,Pek yaratıcı özel bir yanı yok.,negative,RESTAURANT#GENERAL,NULL
1024,1024:0,Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,negative,SERVICE#GENERAL,servis
1024,1024:1,"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",negative,SERVICE#GENERAL,NULL
1024,1024:2,"Olmadı Big Chefs, zincirsin sen...",negative,RESTAURANT#GENERAL,Big Chefs
1025,1025:2,Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,negative,FOOD#STYLE_OPTIONS,tavuk WRAPimiz
1025,1025:3,Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,negative,SERVICE#GENERAL,kofte durum
1025,1025:4,"Tavuklar kupkuruydu, kofte durum ise siradandi.",neutral,FOOD#QUALITY,kofte durum
1025,1025:4,"Tavuklar kupkuruydu, kofte durum ise siradandi.",negative,FOOD#QUALITY,Tavuklar
1025,1025:5,Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,negative,FOOD#QUALITY,tatla
1025,1025:6,"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",neutral,FOOD#STYLE_OPTIONS,Zeytinyagli tabagi
1025,1025:7,Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,negative,FOOD#STYLE_OPTIONS,koymak
1025,1025:7,Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,positive,FOOD#QUALITY,Tadlari
1025,1025:8,"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",negative,SERVICE#GENERAL,servis
1025,1025:8,"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",neutral,RESTAURANT#PRICES,Fiyatlar
1025,1025:8,"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",negative,AMBIENCE#GENERAL,tuvaletler
1026,1026:0,"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",negative,SERVICE#GENERAL,servis elemanlari
1026,1026:0,"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",negative,SERVICE#GENERAL,bayan
1026,1026:0,"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",positive,AMBIENCE#GENERAL,manzaraydi
1026,1026:1,"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",positive,FOOD#STYLE_OPTIONS,çesit
1026,1026:1,"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",negative,FOOD#STYLE_OPTIONS,sunum
1027,1027:0,Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,positive,RESTAURANT#GENERAL,mekan
1027,1027:1,Gidilebilecek iyi yerlerden birisi.,positive,RESTAURANT#GENERAL,yerlerden
1027,1027:2,Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,negative,SERVICE#GENERAL,garsonlarin
1027,1027:2,Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,negative,SERVICE#GENERAL,servisin
1027,1027:3,Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,negative,SERVICE#GENERAL,garson
1027,1027:5,Klasik dondurma spesiyalleri ve tatlililari var.,neutral,FOOD#STYLE_OPTIONS,dondurma spesiyalleri ve tatlililari
1028,1028:0,"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",negative,RESTAURANT#GENERAL,yerdi
1028,1028:1,Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,negative,SERVICE#GENERAL,Garsonlar
1028,1028:2,Internetteki resimlerinden göründügü kadar güzel degildi.,negative,AMBIENCE#GENERAL,göründügü
1029,1029:1,Su böregi oldukça lezzetli idi.,positive,FOOD#QUALITY,Su böregi
1029,1029:2,Çay kötü müydü?,neutral,DRINKS#QUALITY,Çay
1029,1029:3,"Hayir, çok taze ve lezzetliydi.",positive,FOOD#QUALITY,NULL
1029,1029:4,Beklentimin üstündeydi.,positive,RESTAURANT#GENERAL,NULL
1030,1030:0,Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,positive,RESTAURANT#GENERAL,NULL
1030,1030:0,Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,positive,AMBIENCE#GENERAL,manzarasi
1030,1030:3,Yazin daha zevkli oluyor manzaraya karsi oturmasi.,positive,AMBIENCE#GENERAL,manzaraya
1030,1030:4,Marmara ögrencilerine de indirimli fiyat uygulamasi var.,positive,RESTAURANT#PRICES,fiyat
1030,1030:5,O yüzden de bizim için avantajli oluyor.,positive,RESTAURANT#PRICES,NULL
1030,1030:6,"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",positive,FOOD#STYLE_OPTIONS,Gözleme
1030,1030:7,Kuaförü de çok ucuz ve iyi ayrica.,positive,RESTAURANT#MISCELLANEOUS,Kuaförü
1030,1030:8,Daha ne olsun =),positive,RESTAURANT#GENERAL,NULL
1031,1031:0,Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,positive,AMBIENCE#GENERAL,manzara
1031,1031:0,Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,negative,FOOD#QUALITY,mutfak
1031,1031:1,Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,negative,FOOD#PRICES,fiyatlarla
1031,1031:1,Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,negative,FOOD#QUALITY,deniz ürünlerini
1031,1031:2,Paranız çoksa deneyin ama şart da değil:,neutral,RESTAURANT#GENERAL,NULL
1032,1032:0,Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,negative,AMBIENCE#GENERAL,restoranda
1032,1032:0,Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,positive,FOOD#QUALITY,Döner
1033,1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",negative,LOCATION#GENERAL,Yeri
1033,1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",positive,FOOD#STYLE_OPTIONS,yemekleri
1033,1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",positive,FOOD#QUALITY,yemekleri
1033,1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",positive,AMBIENCE#GENERAL,dösenmis
1033,1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",positive,AMBIENCE#GENERAL,ortam
1033,1033:1,Sira bekleme olayi ise çok kötü...,negative,SERVICE#GENERAL,Sira
1034,1034:0,Aci sevmeyenlere uygun bir mekan degil.,neutral,RESTAURANT#GENERAL,mekan
1034,1034:1,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",positive,AMBIENCE#GENERAL,ortam
1034,1034:1,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",negative,FOOD#QUALITY,fajita
1034,1034:1,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",negative,FOOD#QUALITY,karisik köfte tabagi
1034,1034:1,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",positive,AMBIENCE#GENERAL,Manzara
1035,1035:0,Sadece meze yiyin.,negative,FOOD#QUALITY,yiyin
