RID,SID,text,polarity,category
1020,1020:2,Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,positive,FOOD#QUALITY
1020,1020:3,Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,positive,AMBIENCE#GENERAL
1020,1020:4,Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,NULL,NULL
1021,1021:0,"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",positive,AMBIENCE#GENERAL
1021,1021:1,"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",positive,RESTAURANT#GENERAL
1021,1021:2,Hemde canlı müzikle :,NULL,NULL
1022,1022:0,Daha iyisi var.,negative,AMBIENCE#GENERAL
1022,1022:1,Buranin doneri dedikleri kadar efsane degil.,negative,FOOD#QUALITY
1022,1022:2,"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",negative,RESTAURANT#GENERAL
1022,1022:3,Ortami da begenmedim kalabalik 3. Sinif bir yer.,negative,FOOD#STYLE_OPTIONS
1022,1022:4,Bir daha gitmem,NULL,NULL
1023,1023:0,"Eti lezzetli, mekan gösterişli.",negative,RESTAURANT#GENERAL
1023,1023:1,Ama sunum resmen sıfır.,negative,FOOD#STYLE_OPTIONS
1023,1023:2,30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,positive,AMBIENCE#GENERAL
1023,1023:3,Havuç dilimi ise aşırı yağlı ve şerbetli.,conflict,FOOD#QUALITY
1023,1023:4,Pek yaratıcı özel bir yanı yok.,negative,SERVICE#GENERAL
1024,1024:0,Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,negative,RESTAURANT#GENERAL
1024,1024:1,"Kahvaltı sonrası kahve içmeye gittik, kapıdan döndük ve saat 13.30'du, şaka sandım bir an...",negative,SERVICE#GENERAL
1024,1024:2,"Olmadı Big Chefs, zincirsin sen...",NULL,NULL
1025,1025:0,Leventte ki buyuk alisveris merkezlerinden cok sıkılmış olarak buraya gidelim dedik.,neutral,RESTAURANT#PRICES
1025,1025:1,Ben kofte durum arkadasim tavuk WRAP( menu de meksika mutfagi olarak adlandirilmis bolumde ismi böyle geciyordu biz garson beye tavuk durum diyince garson bey buyuk bi titizlikle onun wrap oldugunu soyledi) istedi.,negative,SERVICE#GENERAL
1025,1025:2,Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,negative,AMBIENCE#GENERAL
1025,1025:3,Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,negative,FOOD#QUALITY
1025,1025:4,"Tavuklar kupkuruydu, kofte durum ise siradandi.",negative,FOOD#STYLE_OPTIONS
1025,1025:5,Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,NULL,NULL
1025,1025:6,"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",NULL,NULL
1025,1025:7,Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,NULL,NULL
1025,1025:8,"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",NULL,NULL
1026,1026:0,"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",negative,FOOD#STYLE_OPTIONS
1026,1026:1,"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",positive,AMBIENCE#GENERAL
1026,NULL,NULL,negative,SERVICE#GENERAL
1027,1027:0,Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,neutral,FOOD#STYLE_OPTIONS
1027,1027:1,Gidilebilecek iyi yerlerden birisi.,positive,RESTAURANT#GENERAL
1027,1027:2,Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,negative,SERVICE#GENERAL
1027,1027:3,Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,NULL,NULL
1027,1027:4,Diger Mado subeleri kadar genis bir menü seçenekleri yok.,NULL,NULL
1027,1027:5,Klasik dondurma spesiyalleri ve tatlililari var.,NULL,NULL
1028,1028:0,"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",negative,AMBIENCE#GENERAL
1028,1028:1,Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,negative,RESTAURANT#GENERAL
1028,1028:2,Internetteki resimlerinden göründügü kadar güzel degildi.,negative,SERVICE#GENERAL
1029,1029:0,Su böregi ile kahvalti yaptim bugün.,neutral,DRINKS#QUALITY
1029,1029:1,Su böregi oldukça lezzetli idi.,positive,FOOD#QUALITY
1029,1029:2,Çay kötü müydü?,positive,RESTAURANT#GENERAL
1029,1029:3,"Hayir, çok taze ve lezzetliydi.",NULL,NULL
1029,1029:4,Beklentimin üstündeydi.,NULL,NULL
1030,1030:0,Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,positive,RESTAURANT#PRICES
1030,1030:1,Dügünler falan da yapilir.,positive,RESTAURANT#MISCELLANEOUS
1030,1030:2,Ama konaklamasi yok diye biliyorum.,positive,AMBIENCE#GENERAL
1030,1030:3,Yazin daha zevkli oluyor manzaraya karsi oturmasi.,positive,RESTAURANT#GENERAL
1030,1030:4,Marmara ögrencilerine de indirimli fiyat uygulamasi var.,positive,FOOD#STYLE_OPTIONS
1030,1030:5,O yüzden de bizim için avantajli oluyor.,NULL,NULL
1030,1030:6,"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",NULL,NULL
1030,1030:7,Kuaförü de çok ucuz ve iyi ayrica.,NULL,NULL
1030,1030:8,Daha ne olsun =),NULL,NULL
1031,1031:0,Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,negative,FOOD#PRICES
1031,1031:1,Bu kadar ünlü olmasını reklama bağlıyorum çünkü çok daha iyi deniz ürünlerini daha uygun fiyatlarla yiyebileceğiniz bir sürü yer var İstanbul'da.,positive,AMBIENCE#GENERAL
1031,1031:2,Paranız çoksa deneyin ama şart da değil:,negative,FOOD#QUALITY
1031,NULL,NULL,neutral,RESTAURANT#GENERAL
1032,1032:0,Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,negative,AMBIENCE#GENERAL
1032,NULL,NULL,positive,FOOD#QUALITY
1033,1033:0,"Sicak bir ortam - Yeri iyi olmasa da, zevkli dösenmis, yemekleri sunum ve tat açisindan tatmin edici, renkli bir mekan.",negative,SERVICE#GENERAL
1033,1033:1,Sira bekleme olayi ise çok kötü...,negative,LOCATION#GENERAL
1033,NULL,NULL,positive,AMBIENCE#GENERAL
1033,NULL,NULL,positive,FOOD#QUALITY
1033,NULL,NULL,positive,FOOD#STYLE_OPTIONS
1034,1034:0,Aci sevmeyenlere uygun bir mekan degil.,negative,FOOD#QUALITY
1034,1034:1,"Manzara muhtesem,ortam güzel ama bir karisik köfte tabagi acili köfteyle geliyorsa,fajita da aciysa bana uygun degil.",positive,AMBIENCE#GENERAL
1034,NULL,NULL,neutral,RESTAURANT#GENERAL
1035,1035:0,Sadece meze yiyin.,positive,SERVICE#GENERAL
1035,1035:1,Her hafta gelmeye çalışıyoruz.,positive,RESTAURANT#GENERAL
1035,1035:2,"Bütün balıkları değişik soslarla pişirip getiriyorlar, siz dur diyene kadar da mezeler gelmeye devam ediyor.",positive,FOOD#QUALITY
1035,1035:3,Rekorum 9 meze!,positive,FOOD#STYLE_OPTIONS
1035,1035:4,Balığın fast food gibi yenildiği yer.,NULL,NULL
1035,1035:5,Yavaş yavaş balık keyfi yapmak isterseniz önermem.,NULL,NULL
1035,1035:6,Servisi çok hızlı.,NULL,NULL
1035,1035:7,Mısır ekmeği de sıcacık bayılıyorum.,NULL,NULL
1036,1036:0,"60 çeşit çay, ruh dinlendirici müzikler, keyifli ortam, hayal kırıklığı yaratan Mizuno Pudding ve farklı da olsa alt tarafı çay içmiştim, bu hesap da ne şimdi dedirten bir hesap :",negative,DRINKS#PRICES
1036,1036:1,) Evet aynen böyle olmuştu Dem'de...,positive,DRINKS#STYLE_OPTIONS
1036,1036:2,"Hem çok keyif almıştım, hem de yok yok bir çay için bu kadar paraya değmez demiştim ve öve öve bitirilmeyen Mizuno Pudding'i beğenmemiştim.",positive,AMBIENCE#GENERAL
1036,NULL,NULL,negative,FOOD#QUALITY
1036,NULL,NULL,positive,RESTAURANT#GENERAL
1037,1037:0,Pizzalarının methini çok duyup bir türlü gidemediğimiz yerlerden biriydi burası...,positive,AMBIENCE#GENERAL
1037,1037:1,Neden şimdiye kadar gelmemişim dedim.,positive,RESTAURANT#GENERAL
1037,1037:2,Servisten de oldukça memnun kaldık.,positive,SERVICE#GENERAL
1037,1037:3,Biz erken saatte gittik ama akşamları romantik bir yemek için oldukça ideal bir mekan...,NULL,NULL
1038,1038:0,Hangi gün hangi saat gidilse kalabalıktan kurtulmak mümkün değil.,negative,AMBIENCE#GENERAL
1038,1038:1,Çoluğu çocuğu toplayan ev hanımları grupları mekana olan ilgiyi azaltıyor.,positive,SERVICE#GENERAL
1038,1038:2,Garsonlar iyi.,NULL,NULL
1038,1038:3,Ürünlerin lezzeti diğer Sütiş'lerle aynı.,NULL,NULL
1039,1039:0,"Ansiklopedi kalinliginda menuyu getirip siparisinizi vermek istediginizde o yok, bu uok,su kalmadi seklinde ifadelerle birturlu istediginiz tatliyi yiyemediginiz mekan isletmecisine konuyu ilettiginizde yapacak birseyleri olmadigini buyuk rahatlikla dile getiren , garsonlarinin sattiklari urunden haberdar olmayip isteklerinizi yerine gec veya yanlis getirmeleride cabasi.",negative,FOOD#STYLE_OPTIONS
1039,1039:1,Kesinlikle tavsiye etmiyorum.,negative,RESTAURANT#GENERAL
1039,NULL,NULL,negative,SERVICE#GENERAL
1040,1040:0,Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.,negative,RESTAURANT#PRICES
1040,1040:1,Yeşilköy şubesini bilemem ama burası standart üzerinde yine de o fiyatlar bence çok saçma.,negative,AMBIENCE#GENERAL
1040,1040:2,Ayrıca fix menü zorlaması gibi en sinir bozucu uygulamayı burada normalleştirmiş durumdalar.,neutral,FOOD#QUALITY
1040,1040:3,Mezeler de vasatın üzerinde.,negative,RESTAURANT#GENERAL
1040,1040:4,Balkon/teras bölümü de cidden çok küçük.,negative,FOOD#STYLE_OPTIONS
1040,1040:5,Yine de Asmalımescit bölgesindeki meyhanelere göre daha fazla tercih edilir bir mekan.,NULL,NULL
1041,1041:0,Her zaman gittigim ve servisi her zaman igrenc olan bu mekan artiik iyice rezalet sinirlarini zorlamis.,negative,FOOD#QUALITY
1041,1041:1,Mekanin isletmecisi beyin tavri tarzi konusmasi uslubu ve terbiyesi yerlerde.,neutral,AMBIENCE#GENERAL
1041,1041:2,Mekanin populerligi yuzunden rahatlar sanirim ama bu rahatlikla populerligi kisa surede kaybederler.,negative,RESTAURANT#GENERAL
1041,1041:3,Istanbulda tek manzara goren yer olmamakla beraber yemekleride son derece lezzetsiz.,negative,SERVICE#GENERAL
1041,1041:4,Zaten bu saatten sonra sultan sofrasida kursa o isletmeciyle bu mekana bir daha adimimi atmam.,NULL,NULL
1042,1042:0,"Yemekler super lezzetli, ogle yemeginde cok kalabalik ama saat 2 sonrasinda rahat.",negative,AMBIENCE#GENERAL
1042,1042:1,"Bir tabaga 5 farkli cesit isteyebilirsiniz, ozellikle bugday salatasi ve havuc salatasi muhtesem mutlaka deneyin",positive,FOOD#QUALITY
1043,1043:0,Istanbulda baklavanın adresi.,positive,RESTAURANT#GENERAL
1043,1043:1,"Karaköyden, Eminönünden geçerken uğramalısınız.",positive,FOOD#QUALITY
1043,1043:2,Sadece baklava değil karışık tabak yaptırın.,NULL,NULL
1043,1043:3,Çikolatalı baklavayıda özellikle bayanlara tavsiye ederim,NULL,NULL
1044,1044:0,"yurtdisindan gelen misafirlerimi memnun etmesiyle,manzarasiyla ve tabii ki meze ve yemekleriyle begenimi kazanmis oldu gelinir tadilir calan muzikler guzel ayari sohbetle hos bir fon oluyor.",positive,AMBIENCE#GENERAL
1044,NULL,NULL,positive,FOOD#QUALITY
1045,1045:0,Burayi seviyorum gerçekten.,positive,FOOD#QUALITY
1045,1045:1,ortaya karisik söylerseniz herseyin tadina bakabilirsiniz.,positive,RESTAURANT#GENERAL
1045,1045:2,Hersey lezzetli statüsüne çok yakin.,NULL,NULL
1045,1045:3,Keyifli vakit geçirirsiniz emin olun.,NULL,NULL
1046,1046:0,"Bira dışında başka bir şey içmenizi istemeyen mekan, bira 7,8 lira iken votka 25, şarap 17.5...",negative,DRINKS#PRICES
1046,1046:1,"Onun dışında, belirli bir saatten sonra müzik sağır edici seviyeye ulaşmakta.",negative,AMBIENCE#GENERAL
1047,1047:0,Balıklarından daha çok kendine has mezeleriyle ön plana çıkmış Alkolsüz bir Balıkçı .,positive,SERVICE#GENERAL
1047,1047:1,mezeleri gerçekten standartların üzerinde mekan neredeyse her gün akşam saatlerinde yoğun oluyor .,positive,FOOD#QUALITY
1047,1047:2,bunun haricinde çalışanların ilgiside gayet iyi,positive,FOOD#STYLE_OPTIONS
1048,1048:0,Tam bir hayal kırıklığı.,negative,FOOD#QUALITY
1048,1048:1,Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.,negative,RESTAURANT#GENERAL
1048,1048:2,Hamburgerleri vasat.,NULL,NULL
1048,1048:3,Çok çok kötü,NULL,NULL
1049,1049:0,Sütiştir dedik kahvaltı yapalım dedik pişman olduk valla.,positive,AMBIENCE#GENERAL
1049,1049:1,Porsiyonları çok küçük fiyatlar çok Pahalı.,negative,SERVICE#GENERAL
1049,1049:2,Garsonlar ilgisiz çayları kötü.,negative,DRINKS#QUALITY
1049,1049:3,Arada bir belki tatlı yemeye gidilebilir.,positive,FOOD#QUALITY
1049,1049:4,O da manzarası için.,negative,RESTAURANT#GENERAL
1049,NULL,NULL,negative,FOOD#STYLE_OPTIONS
1050,1050:0,Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan.,positive,DRINKS#STYLE_OPTIONS
1050,1050:1,Bourbon vanilla ve Irish Malt tavsiye ettiğim çaylar arasında.,positive,DRINKS#QUALITY
1050,1050:2,"Servis kaliteli, çalışanları ise inanılmaz ilgili.",positive,AMBIENCE#GENERAL
1050,1050:3,Sevdiğiniz çayların bazılarını paket olarak satın alabiliyorsunuz da.,positive,SERVICE#GENERAL
1050,1050:4,Mekandaki müzik seçimleri de harika.,NULL,NULL
1050,1050:5,Bazen inanılmaz kalabalık olabiliyor haliyle öyle günlerde serviste aksaklıklar yaşanabiliyor.,NULL,NULL
1051,1051:0,Mekan güzel ferah.,positive,RESTAURANT#PRICES
1051,1051:1,Servis çok hızlı.,conflict,FOOD#STYLE_OPTIONS
1051,1051:2,Çok fazla çeşit var.,positive,AMBIENCE#GENERAL
1051,1051:3,Bazı çeşitler kebapla çok alakasız olabiliyor.,positive,FOOD#QUALITY
1051,1051:4,Fiyatları makul.,positive,SERVICE#GENERAL
1051,1051:5,Yemekler lezzetli,NULL,NULL
1052,1052:0,"Manzara güzel,yemekler güzel ama servis berbat.",negative,RESTAURANT#GENERAL
1052,1052:1,Bir defa demlik çay içmek istedik musluk suyu ile yapmışlar küf kokuyordu.,negative,DRINKS#QUALITY
1052,1052:2,Sonra değiştirip damacana suyu ile yaptılar.,positive,AMBIENCE#GENERAL
1052,1052:3,Kısacası berbat.,positive,FOOD#QUALITY
1052,NULL,NULL,negative,SERVICE#GENERAL
